Código gran área;Gran área;Código área;Área;Código disciplina;Disciplina
1.;Ciencias naturales;1.A.;Matemática;1A01;Matemáticas puras
1.;Ciencias naturales;1.A.;Matemática;1A02;Matemáticas aplicadas
1.;Ciencias naturales;1.A.;Matemática;1A03;Estadísticas y probabilidades
1.;Ciencias naturales;1.B.;Computación y ciencias de la información;1B01;Ciencias de la computación
1.;Ciencias naturales;1.B.;Computación y ciencias de la información;1B02;Ciencias de la información y bioinformática
1.;Ciencias naturales;1.C.;Ciencias físicas;1C01;Física atómica, molecular y química
1.;Ciencias naturales;1.C.;Ciencias físicas;1C02;Física de la materia
1.;Ciencias naturales;1.C.;Ciencias físicas;1C03;Física de particulas y campos
1.;Ciencias naturales;1.C.;Ciencias físicas;1C04;Física nuclear
1.;Ciencias naturales;1.C.;Ciencias físicas;1C05;Física de plasmas y fluidos
1.;Ciencias naturales;1.C.;Ciencias físicas;1C06;Óptica
1.;Ciencias naturales;1.C.;Ciencias físicas;1C07;Acústica
1.;Ciencias naturales;1.C.;Ciencias físicas;1C08;Astronomía
1.;Ciencias naturales;1.D.;Ciencias químicas;1D01;Química orgánica
1.;Ciencias naturales;1.D.;Ciencias químicas;1D02;Química inorgánica y nuclear
1.;Ciencias naturales;1.D.;Ciencias químicas;1D03;Química física
1.;Ciencias naturales;1.D.;Ciencias químicas;1D04;Ciencias de los polímeros
1.;Ciencias naturales;1.D.;Ciencias químicas;1D05;Electroquímica
1.;Ciencias naturales;1.D.;Ciencias químicas;1D06;Química de los coloides
1.;Ciencias naturales;1.D.;Ciencias químicas;1D07;Química analítica
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E01;Geociencia
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E02;Mineralogía
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E03;Paleontología
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E04;Geoquímica y geofísica
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E05;Geografía física
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E06;Geología
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E07;Vulcanología
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E08;Ciencias del medio ambiente
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E09;Meteorología y ciencias atmosféricas
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E10;Investigación del clima
1.;Ciencias naturales;1.E.;Ciencias de las tierra y medio ambientales;1E11;Oceanografía, hidrología y recursos del agua
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F01;Biología celular y microbilogía
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F02;Virología
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F03;Bioquímica y biología molecular
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F04;Métodos de investigación en bioquímica
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F05;Micología
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F06;Biofísica
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F07;Genética y herencia
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F08;Biología reproductiva
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F09;Biologia de desarrollo
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F10;Botanica y ciencias de las plantas
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F11;Zoología, ornitología, entomología, ciencias biológicas del comportamiento 
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F12;Biología marina y del agua
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F13;Ecología
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F14;Conservación de la biodiversidad
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F15;Biología( Teórica, matemática, criología, evolución)
1.;Ciencias naturales;1.F.;Ciencias biológicas;1F16;Otras biologías
1.;Ciencias naturales;1.G.;Otras ciencias;1G01;Otras ciencias naturales
2.;Ingeniería y tecnología;2.A. ;Ingeniería civil;2A01;2A01 Ingeniería civil
