Código;cod_campo;Campo;Disciplina;cod_disc;Area
1.1.1.;1.1.;Ciencias naturales;1.1 Matemáticas;1;Matemáticas Puras
1.1.2.;1.1.;;;2;Matemáticas Aplicadas
1.1.3.;1.1.;;;3;Estadísticas y Probabilidades (Investigación en Metodologías)
1.2.1.;1.2.;;1.2 Computación y Ciencias de la Información  ;1;Ciencias de la Computación
1.2.2.;1.2.;;;2;Ciencias de la Información y Bioinformática
1.3.1.;1.3.;;1.3 Ciencias Físicas;1;Física Atómica, Molecular y Química
1.3.2.;1.3.;;;2;Física de la Materia
1.3.3.;1.3.;;;3;Física de Partículas y Campos
1.3.4.;1.3.;;;4;Física Nuclear
1.3.5.;1.3.;;;5;Física de Plasmas y Fluídos
1.3.6.;1.3.;;;6;Óptica
1.3.7.;1.3.;;;7;Acústica
1.3.8.;1.3.;;;8;Astronomía
1.4.1.;1.4.;;1.4 Ciencias Químicas;1;Química Orgánica
1.4.2.;1.4.;;;2;Química Inorgánica y Nuclear
1.4.3.;1.4.;;;3;Química Física
1.4.4.;1.4.;;;4;Ciencias de los Polímeros
1.4.5.;1.4.;;;5;Electroquímica
1.4.6.;1.4.;;;6;Química de los Coloides
1.4.7.;1.4.;;;7;Química Analítica
1.5.1.;1.5.;;1.5 Ciencias de la Tierra y Medioambientales;1;Geociencias (Multidisciplinario)
1.5.2.;1.5.;;;2;Mineralogía
1.5.3.;1.5.;;;3;Paleontología
1.5.4.;1.5.;;;4;Geoquímica y Geofísica
1.5.5.;1.5.;;;5;Geografía Física
1.5.6.;1.5.;;;6;Geología
1.5.7.;1.5.;;;7;Vulcanología
1.5.8.;1.5.;;;8;Ciencias del Medio Ambiente
1.5.9.;1.5.;;;9;Meteorología y Ciencias Atmosféricas
1.5.10.;1.5.;;;10;Investigación del Clima
1.5.11.;1.5.;;;11;Oceanografía, Hidrología y Recursos del Agua
1.6.1.;1.6.;;1.6 Ciencias Biológicas;1;Biología Celular y Microbiología
1.6.2.;1.6.;;;2;Virología
1.6.3.;1.6.;;;3;Bioquímica y Biología Molecular
1.6.4.;1.6.;;;4;Métodos de Investigación en Bioquímica
1.6.5.;1.6.;;;5;Micología
1.6.6.;1.6.;;;6;Biofísica
1.6.7.;1.6.;;;7;Genética y Herencia
1.6.8.;1.6.;;;8;Biología Reproductiva
1.6.9.;1.6.;;;9;Biología del Desarrollo
1.6.10.;1.6.;;;10;Botánica y Ciencias de las Plantas
1.6.11.;1.6.;;;11;Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento
1.6.12.;1.6.;;;12;Biología Marina y del Agua
1.6.13.;1.6.;;;13;Ecología
1.6.14.;1.6.;;;14;Conservación de la Biodiversidad
1.6.15.;1.6.;;;15;Biología (Teórica, Matemática, Criobiología, Evolutiva)
1.6.16.;1.6.;;;16;Otras Biologías
1.7.1.;1.7.;;1.7 Otras Ciencias Naturales;1;Otras Ciencias Naturales
2.1.1.;2.1.;Ingeniería y tecnología;2.1 Ingeniería Civil;1;Ingeniería Civil 
2.1.2.;2.1.;;;2;Ingeniería Arquitectónica 
2.1.3.;2.1.;;;3;Ingeniería de la Construcción 
2.1.4.;2.1.;;;4;Ingeniería Estructural y Municipal 
2.1.5.;2.1.;;;5;Ingeniería del Transporte
2.2.1.;2.2.;;2.2 Ingeniería Eléctrica, Electrónica e Informática  ;1;Ingeniería Eléctrica y Electrónica 
2.2.2.;2.2.;;;2;Robótica y Control Automático 
2.2.3.;2.2.;;;3;Automatización y Sistemas de Control 
2.2.4.;2.2.;;;4;Ingeniería de Sistemas y Comunicaciones 
2.2.5.;2.2.;;;5;Telecomunicaciones 
2.2.6.;2.2.;;;6;Hardware y Arquitectura de Computadores
2.3.1.;2.3.;;2.3 Ingeniería Mecánica;1;Ingeniería Mecánica 
2.3.2.;2.3.;;;2;Mecánica Aplicada 
2.3.3.;2.3.;;;3;Termodinámica 
2.3.4.;2.3.;;;4;Ingeniería Aeroespacial 
2.3.5.;2.3.;;;5;Ingeniería Nuclear 
2.3.6.;2.3.;;;6;Ingeniería del Audio
2.4.1.;2.4.;;2.4 Ingeniería Química;1;Ingeniería Química (Plantas y Productos) 
2.4.2.;2.4.;;;2;Ingeniería de Procesos
2.5.1.;2.5.;;2.5 Ingeniería de los Materiales;1;Ingeniería Mecánica 
2.5.2.;2.5.;;;2;Cerámicos 
2.5.3.;2.5.;;;3;Recubrimientos y películas 
2.5.4.;2.5.;;;4;Compuestos (Laminados, Plásticos Reforzados, Fibras Sintéticas y Naturales, etc.) 
2.5.5.;2.5.;;;5;Papel y Madera 
2.5.6.;2.5.;;;6;Textiles
2.6.1.;2.6.;;2.6 Ingeniería Médica;1;Ingeniería Médica 
